source_id,ra_deg,dec_deg,gmag
3071647227258473600,130.64513786103,-03.49529975468,11.031737
3071653034054312064,130.19403291551,-03.61831652234,11.509376
3071654580242539008,130.15280850903,-03.56372591617,11.181674
3071657225942376192,130.24755886787,-03.44370320676,11.746079
3071658462892947968,130.39246704065,-03.51683561616,9.403374
3071659356246136320,130.44779732852,-03.44993042442,10.485592
3071660696275927808,130.49941093556,-03.44769061599,10.961713
3071666636215440640,129.77724890613,-03.82704434990,11.393071
3071670145204060800,129.83364838700,-03.68587545681,8.767541
3071670729319510656,129.62538940305,-03.77852125874,11.302982
3071670969837674880,129.64234830950,-03.73775831190,11.150425
3071670999902211712,129.68072356910,-03.76040208682,10.799068
3071673065781707264,129.72718089880,-03.68610480782,10.879289
3071675260509766784,129.90697619549,-03.69130131163,11.026672
3071676085143486336,129.88012192646,-03.67611137102,11.886308
3071679284894341888,129.82331932803,-03.64684938076,11.239592
3071679525412510976,129.79825421734,-03.63441460464,10.807919
3071679765930676352,129.81218359075,-03.59028697708,9.774723
3071680654988686464,129.75439351181,-03.58724192077,9.636950
3071684537639816192,129.55604842770,-03.66226173053,9.483662
3071691856264086656,129.50987915617,-03.48487188247,9.717054
3071696533482987648,129.83767111423,-03.38788725971,10.945666
3071697907872535552,129.68425047249,-03.41055406867,10.846291
3071698698146519936,129.65330294473,-03.39633949668,10.181337
3071700725371073920,129.74220209600,-03.33882764600,8.754509
3071702404703072896,130.02505795555,-03.52878813652,11.902421
3071706321713245184,130.05579443120,-03.43881825441,11.322714
3071707185001871872,129.95926745116,-03.41481651705,10.349012
3071710105579723392,130.23755534412,-03.41673213664,10.966743
3071710891557788032,130.28217266233,-03.35418208121,10.974325
3071711033292534400,130.30299456697,-03.34016790369,11.399939
3071713983934237824,130.34726043124,-03.25338946676,10.915262
3071716324692248320,130.18916635607,-03.24237616552,11.439631
3071719722011207424,129.91453752650,-03.35674481899,10.354775
3071720757098529408,129.88085692478,-03.33008922031,11.519411
3071733367122491008,129.97105711628,-03.12083907396,11.453125
3071736562578514048,128.69480506494,-04.15350850345,7.835015
3071739444501329920,128.78187403868,-04.04930430023,9.073861
3071742231935353344,128.53304343807,-04.03471782286,11.523392
3071745015074143232,128.63335186222,-03.92069636373,9.436746
3071746733061048320,128.80214821107,-03.94562245786,11.771715
3071750267817984512,128.80107936193,-03.88576723758,11.479659
3071753398850282624,128.79447665380,-03.78276960538,8.635404
3071754532721688192,128.50148827557,-03.96648406790,9.544627
3071758204918474112,128.55153214094,-03.84448257582,11.886821
3071762602964982784,128.46347940361,-03.76844101760,9.812100
3071766279456061056,128.75505301741,-03.73241107807,9.874594
3071774186491968768,129.09121651403,-03.75859043134,11.802561
3071781127159099648,129.28380173417,-03.65823581171,11.195475
3071781195878576768,129.26425070234,-03.64633565067,10.833847
3071788411424469376,129.14010860368,-03.51222053139,8.610037
3071790129410583680,128.86822892742,-03.65118766082,11.424900
3071791400720897920,128.92678641041,-03.64933123822,10.958362
3071792809470242432,128.88105014220,-03.57477699888,11.220100
3071793458009103616,128.93612301468,-03.52781973907,11.332185
3071798066510131584,129.00871136194,-03.56927744152,11.244059
3071800368612586368,129.14871924102,-03.47612959544,11.600868
3071801910504738560,129.09299851950,-03.41646838677,10.868835
3071805312118835456,129.10417255342,-03.35399214683,11.628078
3071808988611780736,128.40902867063,-03.79880074530,11.604584
3071809847605236864,128.43299724248,-03.73351309691,11.043605
3071809881964975360,128.42503415166,-03.73558859578,10.619244
3071815791839973632,128.51322499778,-03.69660259741,9.065675
3071816895646674688,128.46165464192,-03.65624214886,11.991468
3071817033085636096,128.41700182863,-03.65221081646,8.776823
3071819781864672384,128.54433845718,-03.54314613056,11.207121
3071820812656846592,128.42649317849,-03.59126098858,11.079594
3071822457629211904,128.47537942751,-03.55860282161,11.955245
3071823149119918464,128.54577495820,-03.49933327392,10.240817
3071823866378482432,128.50402966733,-03.48453665031,11.239094
3071824759731493632,128.12555946497,-03.69022598969,10.678286
